"","No","CAS.","Compound.Name","Formula","Breath","X"
"1",1,"83-32-9","acenaphthene","C12H10","[61, 285]",""
"2",2,"208-96-8","acenaphthylene","C12H8","[61, 285]",""
"3",3,"75-07-0","acetaldehyde /ethanal","C2H4O","[6, 134,",""
"17",5,"60-35-5","acetamide","C2H5NO","[6, 322,",""
"20",7,"64-19-7","acetic acid / ethanoic acid","C2H4O2","[6, 57, 134,",""
"33",13,"103-09-3","acetic acid, 2-ethyl-1- hexanol ester / 2-ethyl-1- hexanol acetate / acetic acid, 2-ethylhexyl ester","C10H20O2","[364, 408]",""
"34",14,"624-41-9","acetic acid, 2-methylbutyl ester / 2-methyl butyl acetate","C7H14O2","[408]",""
"35",15,"820-71-3","acetic acid, 2-methylprop-2- en-1-yl ester / 1-acetoxy-2-","C6H10O2","[408]",""
"37",16,"103-45-7","acetic acid, 2-phenylethyl ester / phenylethylester acetic acid","C10H12O2","[369]",""
"38",17,"150-84-5","acetic acid, 3,7-dimethyl-6- octen-1-ol ester / citronellol acetate","C12H22O2","[57]",""
"39",18,"41448-83-3","acetic acid, 3-methoxypropyl ester / 3-methoxypropyl acetate / 3-methoxy-acetate- 1-propanol","C6H12O3","[408]",""
"40",19,"72237-36-6","acetic acid, 4-hexen-1-ol ester / acetate-4-hexen-1-ol","C8H16O3","[408]",""
"45",23,"140-11-4","acetic acid, benzyl ester / benzyl acetate / acetic acid, phenylmethyl ester","C9H10O2","[57]",""
"46",24,"123-86-4","acetic acid, butyl ester / butyl acetate / butyl ethanoate / ethanoic acid,butyl ester","C6H12O","[6, 296,",""
"52",28,"108-05-4","acetic acid, ethenyl ester / vinyl acetate","C4H6O2","[57]",""
"53",29,"141-78-6","acetic acid, ethyl ester / ethyl acetate / ethyl ethanoate / ethanoic acid ethyl ester","C4H8O2","[6, 57, 106,",""
"58",32,"110-19-0","acetic acid, isobutyl ester / isobutyl acetate / 2- Methylpropyl acetate","C6H12O","[6, 336]",""
"63",35,"123-92-2","acetic acid, isopentyl ester / isopentyl acetate / acetic acid, 3-methyl-1-butyl ester / Ethanoic acid 3- methylbutanyl ester /","C7H14O2","[331, 408]",""
"65",36,"108-21-4","acetic acid, isopropyl ester / iso-propylacetate / acetic acid, 1-methylethyl ester","C5H10O2","[336, 408]",""
"66",37,"89-48-5","acetic acid, menthyl ester / menthyl acetate","C12H22O2","[57]",""
"67",38,"79-20-9","acetic acid, methyl ester / methyl ethanoate / Ethanoic acid, methyl ester / methyl acetate","C3H6O2","[6, 57, 106,",""
"73",40,"109-60-4","acetic acid, propyl ester / n- propyl acetate / propyl ethanoate / Ethanoic acid propyl ester","C5H10O2","[408]",""
"75",41,"122-79-2","acetic acid, phenyl ester / phenylacetate","C8H8O2","[320, 341,",""
"78",43,"16397-79-8","acetic acid-2,2,2-trichloro-, 2-ethylhexyl ester","C10H17Cl 3O2","[344]",""
"79",44,"108-24-7","acetic anhydride","C4H6O3","[408]",""
"80",45,"541-50-4","acetoacetic acid / 3- Oxobutanoic acid","C4H6O3","[383]",""
"81",49,"67-64-1","acetone / 2-propanone","C3H6O","[6, 55, 56,",""
"112",50,"75-05-8","acetonitrile","C2H3N","[6, 55, 56,",""
"123",51,"98-86-2","acetophenone / phenylethanone","C8H8O","[6, 57, 322,",""
"127",52,"112-07-2","1-acetoxy-2-butoxyethane","C8H16O3","[408]",""
"128",53,"111-15-9","1-acetoxy-2-ethoxyethane","C6H12O3","[336, 408]",""
"129",54,"70286-20-3","dl-4-acetyl-1- methylcyclohexene","C9H14O","[408]",""
"137",59,"1193-79-9","2-acetyl-5-methylfuran","C7H8O2","[6, 275]",""
"140",62,"932-66-1","1-acetylcyclohexene","C8H12O","[6]",""
"141",63,"1670-46-8","2-acetyl-cyclopentanone","C8H12O","[408]",""
"142",64,"1192-62-7","2-acetylfuran / 1-(2-furanyl)- ethanone / furyl methyl ketone","C6H6O2","[408]",""
