formula;mass;pubChemId
C4H6N2;82.106;1390
C6H12O;100.161;6184
C7H5NS;135.184;7222
C10H14;134.222;10703
C9H19NO;157.257;12975
C9H10O;134.178;22015
C9H18O;142.242;31289
C10H12;132.206;62385
C9H11NO3;181.191;91482
C10H16O;152.237;98497
C8H16N2O4;204.226;123800
C8H18N4O2;202.258;169148
C9H10N2O5;226.188;235719
C18H34O4;314.466;5282961
C30H47N3O9S;625.778;5283134
C9H16O2;156.225;5283344
C20H32O3;320.473;5312983
Sb;121.76;5354495
C20H30O3;318.457;10041593
HNOS;63.074;11389353
C30H47N3O9S;625.778;42607303
C25H40N2O6S;496.663;42607304
C20H32O5;352.471;52224362
C23H37NO5S;439.611;52921882
C11H15N5O6;313.27;53394351
C5H8O;84.118;59270504
C2H3O2;59.044;175
C3H6O;58.08;180
H3N;17.031;222
H4N;18.039;"s<br>Nitrogen cation<br>Ammonia ion<br>Ammonium(+)<br>nitrogen(1+)<br>Nitrogen tetrahydride<br>Ammonium ion(1+)<br>Ammonium (NH4+)<td>
<tr>
<tr>
<td>PubChem CID<td>
<td><a href=https:pubchem.ncbi.nlm.nih.govcompound223"
C7H7NO2;137.138;227
CHO2;45.017;283
Cl;35.45;312
C2H6O;46.069;702
H2O2;34.014;784
C10H12N2O3;208.217;846
C6H14N2O2;146.19;866
C6H14N2O2;146.19;866
Ni;58.693;"s<br>NI 0901-S (harshaw)<br>(59ni)nickel<br>CCRIS 427<td>
<tr>
<tr>
<td>PubChem CID<td>
<td><a href=https:pubchem.ncbi.nlm.nih.govcompound935"
NO3;62.004;943
NO2;46.005;946
C16H32O2;256.43;985
C7H5NO4;167.12;1066
C11H12N2O2;204.229;1148
C11H12N2O2;204.229;1148
C9H11NO3;181.191;1153
C9H11NO3;181.191;1153
C9H11NO3;181.191;1153
C5H4N4O3;168.112;1175
CH4N2O;60.056;1176
C3H8O;60.096;3776
C9H11N5O4;253.218;4455
C6H12O6;180.156;5793
C10H16N5O13P3;507.181;5957
C10H14N5O7P;347.224;6083
C4H8O2;88.106;6590
C8H11N;121.183;7670
C7H14O;114.188;8130
C3H4O2;72.063;10964
Fe;55.845;23925
Mo;95.95;23932
Cr;51.996;"s<br>Chrom [German]<br>Chromium, elemental<br>Chromium, metal<br>(49cr)chromium<br>(51cr)chromium<br>CCRIS 159<br>UNII-0R0008Q3JB<br>HSDB 910<br>EINECS 231-157-5<br>Chromic acid and chromates<br>24Cr<br>CHEBI:28073<br>Chromium, metal and insol. salts<td>
<tr>
<tr>
<td>PubChem CID<td>
<td><a href=https:pubchem.ncbi.nlm.nih.govcompound23976"
Cu;63.546;23978
Zn;65.38;23994
C10H13N5O4;267.245;60961
Co;58.933;104730
C3H5O2;73.071;104745
C8H18N4O2;202.258;123831
C10H17N3O6S;307.321;124886
NO;30.006;145068
C20H28O2;300.442;444795
C22H32O2;328.496;445580
C20H32O5;352.471;448457
C20H32O5;352.471;5280360
C20H32O4;336.472;5280492
C30H47N3O9S;625.778;5280493
C20H34O5;354.487;5280506
C23H37NO5S;439.611;5280879
C20H32O6;368.47;5280883
C20H34O6;370.486;5280888
C20H32O6;368.47;5280891
C20H34O5;354.487;5282263
C20H34O6;370.486;5283137
Na;22.99;5360545
