formula;mass;pubChemId;nHBDB
C5H8O2;100.117;643800;153
C5H8O2;100.117;125468;619
C5H8O2;100.117;6658;750
C5H8O2;100.117;638122;809
C5H8O2;100.117;8821;838
C5H8O2;100.117;10953;847
C6H12O;100.161;6184;2
C6H12O;100.161;13855;488
C6H12O;100.161;7359;507
C6H12O;100.161;11509;561
C6H12O;100.161;11583;562
C6H12O;100.161;31245;715
C6H12O;100.161;7909;722
C6H12O;100.161;11262;723
C6H12O;100.161;5365240;842
C5H12N2;100.165;66057;310
C7H16;100.205;11542;234
C7H16;100.205;11260;476
C7H16;100.205;7907;477
C7H16;100.205;11229;478
C7H16;100.205;12048;534
C7H16;100.205;8900;543
C7H16;100.205;11582;678
C5H11NO;101.149;12051;207
C4H6O3;102.089;7918;120
C5H10O2;102.133;7997;119
C5H10O2;102.133;7915;364
C5H10O2;102.133;10430;610
C5H10O2;102.133;7991;804
C5H10O2;102.133;7749;832
C6H14O;102.177;7358;254
C6H14O;102.177;12512;540
C6H14O;102.177;136445;603
C6H14O;102.177;11508;719
C6H14O;102.177;7910;720
C6H14O;102.177;6493;721
C5H14N2;102.181;273;325
C7H5N;103.124;7505;138
C4H8O3;104.105;522046;259
C4H8O3;104.105;441;576
C4H8O3;104.105;80507;600
C4H8O3;104.105;22294;910
C8H8;104.152;7501;340
C5H9Cl;104.577;518970;174
C3H4ClNO;105.521;16035;285
C7H6O;106.124;240;134
C8H10;106.168;7500;253
C8H10;106.168;7809;918
C8H10;106.168;7929;919
C8H10;106.168;7237;920
C5H11Cl;106.593;10977;173
C7H9N;107.15;66013;1021
C7H9N;107.156;7937;236
C7H9N;107.156;10823;535
C7H8O;108.14;244;139
C7H8O;108.14;342;578
C7H8O;108.14;2879;740
C7H8O;108.14;530402;840
C6H8N2;108.144;20686;204
C2H6Se;109.041;11648;239
C6H7NO;109.128;14504;312
C7H11N;109.172;16620;355
C7H11N;109.172;70260;896
C7H11N;109.172;572717;909
C6H6O2;110.112;14505;125
C6H6O2;110.112;12097;655
C7H10O;110.156;75098;185
C7H10O;110.156;74346;528
C7H10O;110.156;14511;626
C7H10O;110.156;517859;886
C8H14;110.2;15480;220
C8H14;110.2;137726;416
C8H14;110.2;519449;417
C8H14;110.2;565367;447
C8H14;110.2;142069;448
C8H14;110.2;12992;449
C8H14;110.2;91700517;461
C8H14;110.2;73937;509
C8H14;110.2;137724;510
C8H14;110.2;13856;520
C8H14;110.2;88243;526
C8H14;110.2;557171;527
C8H14;110.2;137017;584
C8H14;110.2;534918;658
C8H14;110.2;139628;659
C8H14;110.2;138971;660
C8H14;110.2;521962;675
C8H14;110.2;5367588;787
C8H14;110.2;136316;881
C8H14;110.2;136569;946
C5H5NO2;111.1;12473;209
C6H9NO;111.144;574037;224
CH4O4S;112.099;57459307;221
C6H8S;112.19;13388;265
C8H16;112.216;9266;192
C8H16;112.216;11549;412
C8H16;112.216;11416;413
C8H16;112.216;11564;414
C8H16;112.216;11523;415
C8H16;112.216;140134;454
C8H16;112.216;33451;455
C8H16;112.216;23502;456
C8H16;112.216;18853;457
C8H16;112.216;520669;458
C8H16;112.216;638067;459
C8H16;112.216;136729;525
C8H16;112.216;520670;531
C8H16;112.216;20082;622
C8H16;112.216;15404;649
C8H16;112.216;27519;667
C8H16;112.216;518713;668
C8H16;112.216;21122;669
C8H16;112.216;12330;670
C8H16;112.216;5366149;671
C8H16;112.216;5352648;672
C8H16;112.216;522498;673
C8H16;112.216;5364849;674
C8H16;112.216;8125;792
C8H16;112.216;5364448;793
C8H16;112.216;638228;794
C8H16;112.216;5357253;795
C8H16;112.216;27533;878
C8H16;112.216;35368;879
C8H16;112.216;17779;880
C8H16;112.216;"s<br>NSC8701<br>MolPort-001-787-090<br>KS-000016TH<br>NSC73942<br>ZINC1648186<br>(tert-C4H9)CH2C(CH3)=CH2<br>Tox21_200435<br>Tox21_202554<br>ANW-15788<br>NSC-73942<br>2,4,4-Trimethyl-1-pentene, 96%<br>2,4,4-Trimethyl-1-pentene, 99%<br>AKOS015903731<br>RTR-001811<br>TRA0097053<br>NCGC00166004-01<br>NCGC00166004-02<br>NCGC00257989-01<br>NCGC00260103-01<br>AN-17665<br>AN-22476<br>CAS-107-39-1<br>CJ-26606<br>2,4,4-Trimethyl-1-pentene, 99% 25g<br>CAS-25167-70-8<br>KB-164529<br>LS-102078<br>LS-165873<br>TR-001811<br>FT-0624979<br>FT-0624980<br>J-001894<br>W-109188<br>I14-17830<br>2,4,4-Trimethyl-1-pentene + 2,4,4-Trimethyl-2-pentene<br>Diisobutylene, isomeric compounds [UN2050] [Flammable liquid]<br>Diisobutylene, isomeric compounds [UN2050] [Flammable liquid]<br>InChI=1C8H16c1-7(2)6-8(3,4)5h1,6H2,2-5H<br>12002-23-2<br>Diisobutylene, technical, >=90% (3 parts 2,4,4-trimethyl-1-pentene + 1 part 2,4,4-trimethyl-2-pentene, GC)<br><td>
<tr>
<tr>
<td>PubChem CID<td>
<td><a href=https:pubchem.ncbi.nlm.nih.govcompound7868";905
C8H16;112.216;7869;906
C8H16;112.216;11270;907
C8H16;112.216;5357254;908
C6H5Cl;112.556;7964;166
C6H11NO;113.16;7768;131
C6H10O2;114.144;69962;118
C6H10O2;114.144;8035;558
C6H10O2;114.144;642039;734
C6H10O2;114.144;13550;839
