ion_mass;ion_formula;formula;mass_monoiso;name_iupac;pubchem_cid;CAS_number
3,0229265;[H2+H]+;H2;2,01565;hydrogen monohydride;58838673;NA
3,0229265;[H2+H]+;H2;2,01565;hydrogen;NA;1333-74-0
17,0385765;[CH4+H]+;CH4;16,03130013;methane;297;74-82-8
18,0338255;[H3N+H]+;H3N;17,0265491;ammonia;222;7664-41-7
23,9970455;[Na+H]+;Na;22,98976928;sodium;5360545;7440-23-5
28,0181755;[CHN+H]+;CHN;27,01089904;formonitrile;768;74-90-8
28,9842025;[Si+H]+;Si;27,97692653;silicon;5461123;7440-21-3
29,0021905;[CO+H]+;CO;27,99491462;carbon monoxide;281;35907-63-2
29,0021905;[CO+H]+;CO;27,994915;carbon monoxide;NA;630--8-0
29,0385765;[C2H4+H]+;C2H4;28,03130013;ethylene;6325;74-85-1
30,0100155;[CHO+H]+;CHO;29,00273965;NA;101954077;NA
31,0052645;[NO+H]+;NO;29,99798862;nitric oxide;145068;10102-43-9
31,0178405;[CH2O+H]+;CH2O;30,01056468;formaldehyde;712;50-00-0
31,0542265;[C2H6+H]+;C2H6;30,04695019;ethane;6324;74-84-0
32,0494755;[CH5N+H]+;CH5N;31,04219916;methanamine;6329;74-89-5
33,0334905;[CH4O+H]+;CH4O;32,02621475;methanol;887;67-56-1
33,0447245;[H4N2+H]+;H4N2;32,03744814;hydrazine;9321;302-01-2
34,9949975;[H2S+H]+;H2S;33,98772124;"hydron;sulfanide";18779926;156320-25-1
34,9949975;[H2S+H]+;H2S;33,987721;hydrogen sulfide;NA;04/06/7783
35,0127545;[H2O2+H]+;H2O2;34,0054793;hydrogen peroxide;784;7722-84-1
35,0127545;[H2O2+H]+;H2O2;34,0054793;NA;22326046;NA
35,9761285;[Cl+H]+;Cl;34,9688527;chloride;312;16887-00-6
39,9709825;[K+H]+;K;38,96370648;potassium;5462222;07/09/7440
41,0385765;[C3H4+H]+;C3H4;40,03130013;allene;10037;463-49-0
41,0385765;[C3H4+H]+;C3H4;40,03130013;prop-1-yne;6335;74-99-7
42,0338255;[C2H3N+H]+;C2H3N;41,0265491;acetonitrile;6342;75-05-8
43,0542265;[C3H6+H]+;C3H6;42,04695019;cyclopropane;6351;75-19-4
43,0542265;[C3H6+H]+;C3H6;42,04695019;prop-1-ene;8252;115-07-1
44,0243235;[HN3+H]+;HN3;43,01704705;NA;24530;7782-79-8
44,9971045;[CO2+H]+;CO2;43,98982924;NA;280;124-38-9
45,0334905;[C2H4O+H]+;C2H4O;44,02621475;acetaldehyde;177;75-07-0
45,0334905;[C2H4O+H]+;C2H4O;44,02621475;oxirane;6354;75-21-8
45,0573005;[C2H6N+H]+;C2H6N;44,050024;ethylamine;NA;75-04-7
45,0698765;[C3H8+H]+;C3H8;44,06260026;propane;6334;74-98-6
46,0049295;[CHO2+H]+;CHO2;44,99765427;formate;283;71-47-6
46,0287395;[CH3NO+H]+;CH3NO;45,02146372;formamide;713;75-12-7
46,0651255;[C2H7N+H]+;C2H7N;45,057849;dimethylamine;NA;124-40-3
47,0001785;[NO2+H]+;NO2;45,99290324;nitrite;946;14797-65-0
47,0127545;[CH2O2+H]+;CH2O2;46,00548;methanoic acid / formic acid;NA;64-18-6
47,0491405;[C2H6O+H]+;C2H6O;46,04186481;ethanol;702;64-17-5
