"Z"	"symbol"	"element"	"A"	"mass"
NA	"electron"	""	""	0.000548
NA	"proton"	""	""	1.0072765
NA	"neutron"	""	""	1.008665549
6	"C"	"carbon"	"12"	12
1	"H"	"hydrogen"	"1"	1.007825
2	"He"	"helium"	"3"	3.016029
3	"Li"	"lithium"	"6"	6.015122
4	"Be"	"beryllium"	"9"	9.012183
5	"B"	"boron"	"10"	10.012936
7	"N"	"nitrogen"	"14"	14.003074
8	"O"	"oxygen"	"16"	15.994914
9	"F"	"fluorine"	"19"	18.998403
10	"Ne"	"neon"	"20"	19.99244
11	"Na"	"sodium"	"23"	22.989769
12	"Mg"	"magnesium"	"24"	23.985041
13	"Al"	"aluminium"	"27"	26.981538
14	"Si"	"silicon"	"28"	27.976926
15	"P"	"phosphorous"	"31"	30.973761
16	"S"	"sulfur"	"32"	31.972071
17	"Cl"	"chlorine"	"35"	34.968852
18	"Ar"	"argon"	"36"	35.967545
19	"K"	"potassium"	"39"	38.963706
20	"Ca"	"calcium"	"40"	39.96259
21	"Sc"	"scandium"	"45"	44.955908
22	"Ti"	"titanium"	"46"	45.952627
23	"V"	"vanadium"	"50*"	49.947156
24	"Cr"	"chromium"	"50"	49.946041
25	"Mn"	"manganese"	"55"	54.938043
26	"Fe"	"iron"	"54"	53.939608
27	"Co"	"cobalt"	"59"	58.933194
28	"Ni"	"nickel"	"58"	57.935342
29	"Cu"	"copper"	"63"	62.929597
30	"Zn"	"zinc"	"64"	63.929142
31	"Ga"	"gallium"	"69"	68.925573
32	"Ge"	"germanium"	"70"	69.924249
33	"As"	"arsenic"	"75"	74.921595
34	"Se"	"selenium"	"74"	73.922475
35	"Br"	"bromine"	"79"	78.918338
36	"Kr"	"krypton"	"78*"	77.920366
37	"Rb"	"rubidium"	"85"	84.911789
38	"Sr"	"strontium"	"84"	83.913419
39	"Y"	"yttrium"	"89"	88.90584
40	"Zr"	"zirconium"	"90"	89.904698
41	"Nb"	"niobium"	"93"	92.90637
42	"Mo"	"molybdenum"	"92"	91.906807
44	"Ru"	"ruthenium"	"96"	95.907589
45	"Rh"	"rhodium"	"103"	102.90549
46	"Pd"	"palladium"	"102"	101.905632
47	"Ag"	"silver"	"107"	106.90509
48	"Cd"	"cadmium"	"106"	105.90646
49	"In"	"indium"	"113"	112.90406
50	"Sn"	"tin"	"112"	111.904825
51	"Sb"	"antimony"	"121"	120.90381
52	"Te"	"tellurium"	"120"	119.90406
53	"I"	"iodine"	"127"	126.90447
54	"Xe"	"xenon"	"124"	123.90589
55	"Cs"	"caesium"	"133"	132.905451
56	"Ba"	"barium"	"130*"	129.90632
57	"La"	"lanthanum"	"138*"	137.90712
58	"Ce"	"cerium"	"136"	135.907129
59	"Pr"	"praseodymium"	"141"	140.90766
60	"Nd"	"neodymium"	"142"	141.90773
62	"Sm"	"samarium"	"144"	143.91201
63	"Eu"	"europium"	"151*"	150.919857
64	"Gd"	"gadolinium"	"152"	151.919799
65	"Tb"	"terbium"	"159"	158.925354
66	"Dy"	"dysprosium"	"156"	155.924284
67	"Ho"	"holmium"	"165"	164.930328
68	"Er"	"erbium"	"162"	161.928787
69	"Tm"	"thulium"	"169"	168.934218
70	"Yb"	"ytterbium"	"168"	167.933889
71	"Lu"	"lutetium"	"175"	174.940777
72	"Hf"	"hafnium"	"174*"	173.94005
73	"Ta"	"tantalum"	"180*"	179.94747
74	"W"	"tungsten"	"180*"	179.94671
75	"Re"	"rhenium"	"185"	184.952958
76	"Os"	"osmium"	"184*"	183.952493
77	"Ir"	"iridium"	"191"	190.960591
78	"Pt"	"platinum"	"190*"	189.95995
79	"Au"	"gold"	"197"	196.96657
80	"Hg"	"mercury"	"196"	195.96583
81	"Tl"	"thallium"	"203"	202.972344
82	"Pb"	"lead"	"204"	203.973043
83	"Bi"	"bismuth"	"209*"	208.9804
90	"Th"	"thorium"	"230*"	230.033132
91	"Pa"	"protactinium"	"231*"	231.03588
92	"U"	"uranium"	"234*"	234.04095
