"element" "isotope" "mass" "abundance" "ratioC"
"1" "H" "1H" 1.007825032 0.999885 6
"2" "H" "2H" 2.014101778 0.000115 6
"3" "He" "3He" 3.016029319 1.34e-06 0
"4" "He" "4He" 4.002603254 0.99999866 0
"5" "Li" "6Li" 6.0151223 0.0759 0
"6" "Li" "7Li" 7.0160041 0.9241 0
"7" "Be" "9Be" 9.0121822 1 0
"8" "B" "10B" 10.0129371 0.199 0
"9" "B" "11B" 11.0093055 0.801 0
"10" "C" "12C" 12 0.9893 0
"11" "C" "13C" 13.00335484 0.0107 0
"12" "N" "14N" 14.00307401 0.99636 4
"13" "N" "15N" 15.00010897 0.00364 4
"14" "O" "16O" 15.99491462 0.99757 3
"15" "O" "17O" 16.9991315 0.00038 3
"16" "O" "18O" 17.9991604 0.00205 3
"17" "F" "19F" 18.9984032 1 6
"18" "Ne" "20Ne" 19.99244018 0.9048 0
"19" "Ne" "21Ne" 20.99384668 0.0027 0
"20" "Ne" "22Ne" 21.99138511 0.0925 0
"21" "Na" "23Na" 22.98976966 1 0
"22" "Mg" "24Mg" 23.98504187 0.7899 0
"23" "Mg" "25Mg" 24.985837 0.1 0
"24" "Mg" "26Mg" 25.982593 0.1101 0
"25" "Al" "27Al" 26.98153863 1 0
"26" "Si" "28Si" 27.97692649 0.92223 1
"27" "Si" "29Si" 28.97649468 0.04685 1
"28" "Si" "30Si" 29.97377018 0.03092 1
"29" "P" "31P" 30.97376149 1 2
"30" "S" "32S" 31.97207073 0.9499 3
"31" "S" "33S" 32.97145854 0.0075 3
"32" "S" "34S" 33.96786687 0.0425 3
"33" "S" "35S" 35 0 3
"34" "S" "36S" 35.96708088 1e-04 3
"35" "Cl" "35Cl" 34.96885271 0.7576 2
"36" "Cl" "36Cl" 36 0 2
"37" "Cl" "37Cl" 36.9659026 0.2424 2
"38" "Ar" "36Ar" 35.96754511 0.003365 0
"39" "Ar" "38Ar" 37.9627324 0.000632 0
"40" "Ar" "40Ar" 39.96238312 0.996003 0
"41" "K" "39K" 38.9637069 0.932581 0
"42" "K" "40K" 39.96399867 0.000117 0
"43" "K" "41K" 40.96182597 0.067302 0
"44" "Ca" "40Ca" 39.9625912 0.96941 0
"45" "Ca" "41Ca" 41 0 0
"46" "Ca" "42Ca" 41.9586183 0.00647 0
"47" "Ca" "43Ca" 42.9587668 0.00135 0
"48" "Ca" "44Ca" 43.9554811 0.02086 0
"49" "Ca" "45Ca" 45 0 0
"50" "Ca" "46Ca" 45.9536927 4e-05 0
"51" "Ca" "47Ca" 47 0 0
"52" "Ca" "48Ca" 47.952533 0.00187 0
"53" "Sc" "45Sc" 44.9559119 1 0
"54" "Ti" "46Ti" 45.9526316 0.0825 0
"55" "Ti" "47Ti" 46.9517631 0.0744 0
"56" "Ti" "48Ti" 47.9479463 0.7372 0
"57" "Ti" "49Ti" 48.94787 0.0541 0
"58" "Ti" "50Ti" 49.9447912 0.0518 0
"59" "V" "50V" 49.9471585 0.0025 0
"60" "V" "51V" 50.9439595 0.9975 0
"61" "Cr" "50Cr" 49.9460442 0.04345 0
"62" "Cr" "52Cr" 51.9405075 0.83789 0
"63" "Cr" "53Cr" 52.9406494 0.09501 0
"64" "Cr" "54Cr" 53.9388804 0.02365 0
"65" "Mn" "55Mn" 54.9380451 1 0
"66" "Fe" "54Fe" 53.9396147 0.05845 0
"67" "Fe" "55Fe" 55 0 0
"68" "Fe" "56Fe" 55.9349418 0.91754 0
