ion_mass	ion_formula	formula	mass_monoiso	name_iupac	pubchem_cid	inchi	inchikey	ref_year	ref_pmid	disease_name	disease_meshid
131.0855265	[C10H10+H]+	C10H10	130.078250319	1,2-divinylbenzene/1,4-divinylbenzene	66666/66041	InChI=1S/C10H10/c1-3-9-7-5-6-8-10(9)4-2/h3-8H,1-2H2/InChI=1S/C10H10/c1-3-9-5-7-10(4-2)8-6-9/h3-8H,1-2H2	MYRTYDVEIRVNKP-UHFFFAOYSA-N/WEERVPDNCOGWJF-UHFFFAOYSA-N	NA	NA	NA	NA
147.0804405	[C10H10O+H]+	C10H10O	146.073164938	4,7-dimethylbenzofuran	33109	InChI=1S/C10H10O/c1-7-3-4-8(2)10-9(7)5-6-11-10/h3-6H,1-2H3	PFXVPEGRXODMIQ-UHFFFAOYSA-N	NA	NA	NA	NA
163.0753545	[C10H10O2+H]+	C10H10O2	162.068079557	1-(3-acetylphenyl)ethanone	23229	InChI=1S/C10H10O2/c1-7(11)9-4-3-5-10(6-9)8(2)12/h3-6H,1-2H3	VCHOFVSNWYPAEF-UHFFFAOYSA-N	NA	NA	NA	NA
133.1011765	[C10H12+H]+	C10H12	132.093900383	1-isopropenyl-4-methyl-benzene/1,3-dimethyl-2-vinyl-benzene/2,4-dimethyl-1-vinyl-benzene/1,3-dimethyl-5-vinyl-benzene/1,2-dimethyl-4-vinyl-benzene/1-ethyl-3-vinyl-benzene/2-methylprop-1-enylbenzene/[(E)-but-1-enyl]benzene/[(E)-but-2-enyl]benzene/1-methylenepropylbenzene	62385/16266/16694/21476/33937/24143/13030/5370622/5356732/74871	InChI=1S/C10H12/c1-8(2)10-6-4-9(3)5-7-10/h4-7H,1H2,2-3H3/InChI=1S/C10H12/c1-4-10-8(2)6-5-7-9(10)3/h4-7H,1H2,2-3H3/InChI=1S/C10H12/c1-4-10-6-5-8(2)7-9(10)3/h4-7H,1H2,2-3H3/InChI=1S/C10H12/c1-4-10-6-8(2)5-9(3)7-10/h4-7H,1H2,2-3H3/InChI=1S/C10H12/c1-4-10-6-5-8(2)9(3)7-10/h4-7H,1H2,2-3H3/InChI=1S/C10H12/c1-3-9-6-5-7-10(4-2)8-9/h3,5-8H,1,4H2,2H3/InChI=1S/C10H12/c1-9(2)8-10-6-4-3-5-7-10/h3-8H,1-2H3/InChI=1S/C10H12/c1-2-3-7-10-8-5-4-6-9-10/h3-9H,2H2,1H3/b7-3+/InChI=1S/C10H12/c1-2-3-7-10-8-5-4-6-9-10/h2-6,8-9H,7H2,1H3/b3-2+/InChI=1S/C10H12/c1-3-9(2)10-7-5-4-6-8-10/h4-8H,2-3H2,1H3	MMSLOZQEMPDGPI-UHFFFAOYSA-N/OWRKXOZFTROHSH-UHFFFAOYSA-N/OEVVKKAVYQFQNV-UHFFFAOYSA-N/XKMDZVINHIFHLY-UHFFFAOYSA-N/PMZXJPLGCUVUDN-UHFFFAOYSA-N/XHUZSRRCICJJCN-UHFFFAOYSA-N/BTOVVHWKPVSLBI-UHFFFAOYSA-N/MPMBRWOOISTHJV-XVNBXDOJSA-N/VUKHQPGJNTXTPY-NSCUHMNNSA-N/SQHOHKQMTHROSF-UHFFFAOYSA-N	NA	NA	NA	NA
209.0920665	[C10H12N2O3+H]+	C10H12N2O3	208.08479225	2-amino-4-(2-aminophenyl)-4-oxo-butanoic acid	846	InChI=1S/C10H12N2O3/c11-7-4-2-1-3-6(7)9(13)5-8(12)10(14)15/h1-4,8H,5,11-12H2,(H,14,15)	YGPSJZOEDVAXAB-UHFFFAOYSA-N	NA	NA	NA	NA
149.0960905	[C10H12O+H]+	C10H12O	148.088815002	1-allyl-4-methoxy-benzene/1-methoxy-4-[(E)-prop-1-enyl]benzene/2-methyl-1-phenyl-propan-1-one	8815/637563/69144	InChI=1S/C10H12O/c1-3-4-9-5-7-10(11-2)8-6-9/h3,5-8H,1,4H2,2H3/InChI=1S/C10H12O/c1-3-4-9-5-7-10(11-2)8-6-9/h3-8H,1-2H3/b4-3+/InChI=1S/C10H12O/c1-8(2)10(11)9-6-4-3-5-7-9/h3-8H,1-2H3	ZFMSMUAANRJZFM-UHFFFAOYSA-N/RUVINXPYWBROJD-ONEGZZNKSA-N/BSMGLVDZZMBWQB-UHFFFAOYSA-N	NA	NA	NA	NA
165.0910045	[C10H12O2+H]+	C10H12O2	164.083729621	2-hydroxy-2-methyl-1-phenyl-propan-1-one	81984	InChI=1S/C10H12O2/c1-10(2,12)9(11)8-6-4-3-5-7-8/h3-7,12H,1-2H3	XMLYCEVDHLAQEL-UHFFFAOYSA-N	NA	NA	NA	NA
181.0859185	[C10H12O3+H]+	C10H12O3	180.078644241	2-phenoxyethyl acetate	22568	InChI=1S/C10H12O3/c1-9(11)12-7-8-13-10-5-3-2-4-6-10/h2-6H,7-8H2,1H3	WHFKYDMBUMLWDA-UHFFFAOYSA-N	NA	NA	NA	NA
268.1040275	[C10H13N5O4+H]+	C10H13N5O4	267.09675391	(2R,3R,4S,5R)-2-(6-aminopurin-9-yl)-5-(hydroxymethyl)tetrahydrofuran-3,4-diol	60961	InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)/t4-,6-,7-,10-/m1/s1	OIRDTQYFTABQOQ-KQYNXXCUSA-N	NA	NA	NA	NA
135.1168265	[C10H14+H]+	C10H14	134.109550447	1-isopropyl-2-methyl-benzene/butylbenzene/1-isopropyl-4-methyl-benzene/1-methyl-4-propyl-benzene/1,4-diethylbenzene/1,3-diethylbenzene/1-ethyl-2,3-dimethyl-benzene/1-ethyl-3,5-dimethyl-benzene/2-ethyl-1,4-dimethyl-benzene/1-ethyl-2,4-dimethyl-benzene/4-ethyl-1,2-dimethyl-benzene/5-isopropenyl-2-methyl-cyclohexa-1,3-diene/1-isopropyl-3-methyl-benzene/1-methyl-2-propyl-benzene/1,2,3,4-tetramethylbenzene/1,2,3,5-tetramethylbenzene/1,2,4,5-tetramethylbenzene	10703/7705/7463/14095/7734/8864/13621/13627/15653/13403/13629/527424/10812/14091/10263/10695/7269	InChI=1S/C10H14/c1-8(2)10-7-5-4-6-9(10)3/h4-8H,1-3H3/InChI=1S/C10H14/c1-2-3-7-10-8-5-4-6-9-10/h4-6,8-9H,2-3,7H2,1H3/InChI=1S/C10H14/c1-8(2)10-6-4-9(3)5-7-10/h4-8H,1-3H3/InChI=1S/C10H14/c1-3-4-10-7-5-9(2)6-8-10/h5-8H,3-4H2,1-2H3/InChI=1S/C10H14/c1-3-9-5-7-10(4-2)8-6-9/h5-8H,3-4H2,1-2H3/InChI=1S/C10H14/c1-3-9-6-5-7-10(4-2)8-9/h5-8H,3-4H2,1-2H3/InChI=1S/C10H14/c1-4-10-7-5-6-8(2)9(10)3/h5-7H,4H2,1-3H3/InChI=1S/C10H14/c1-4-10-6-8(2)5-9(3)7-10/h5-7H,4H2,1-3H3/InChI=1S/C10H14/c1-4-10-7-8(2)5-6-9(10)3/h5-7H,4H2,1-3H3/InChI=1S/C10H14/c1-4-10-6-5-8(2)7-9(10)3/h5-7H,4H2,1-3H3/InChI=1S/C10H14/c1-4-10-6-5-8(2)9(3)7-10/h5-7H,4H2,1-3H3/InChI=1S/C10H14/c1-8(2)10-6-4-9(3)5-7-10/h4-6,10H,1,7H2,2-3H3/InChI=1S/C10H14/c1-8(2)10-6-4-5-9(3)7-10/h4-8H,1-3H3/InChI=1S/C10H14/c1-3-6-10-8-5-4-7-9(10)2/h4-5,7-8H,3,6H2,1-2H3/InChI=1S/C10H14/c1-7-5-6-8(2)10(4)9(7)3/h5-6H,1-4H3/InChI=1S/C10H14/c1-7-5-8(2)10(4)9(3)6-7/h5-6H,1-4H3/InChI=1S/C10H14/c1-7-5-9(3)10(4)6-8(7)2/h5-6H,1-4H3	WWRCMNKATXZARA-UHFFFAOYSA-N/OCKPCBLVNKHBMX-UHFFFAOYSA-N/HFPZCAJZSCWRBC-UHFFFAOYSA-N/JXFVMNFKABWTHD-UHFFFAOYSA-N/DSNHSQKRULAAEI-UHFFFAOYSA-N/AFZZYIJIWUTJFO-UHFFFAOYSA-N/QUBBAXISAHIDNM-UHFFFAOYSA-N/LMAUULKNZLEMGN-UHFFFAOYSA-N/AXIUBBVSOWPLDA-UHFFFAOYSA-N/MEMBJMDZWKVOTB-UHFFFAOYSA-N/SBUYFICWQNHBCM-UHFFFAOYSA-N/NJLNIOKPXKKALD-UHFFFAOYSA-N/XCYJPXQACVEIOS-UHFFFAOYSA-N/YQZBFMJOASEONC-UHFFFAOYSA-N/UOHMMEJUHBCKEE-UHFFFAOYSA-N/BFIMMTCNYPIMRN-UHFFFAOYSA-N/SQNZJJAZBFDUTD-UHFFFAOYSA-N	NA	NA	NA	NA
348.0703555	[C10H14N5O7P+H]+	C10H14N5O7P	347.0630848	[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxy-tetrahydrofuran-2-yl]methyl dihydrogen phosphate	6083	InChI=1S/C10H14N5O7P/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(22-10)1-21-23(18,19)20/h2-4,6-7,10,16-17H,1H2,(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1	UDMBCSSLTHHNCD-KQYNXXCUSA-N	NA	NA	NA	NA
151.1117405	[C10H14O+H]+	C10H14O	150.104465066	5-isopropenyl-2-methyl-cyclohex-2-en-1-one/1-methoxy-4-propyl-benzene/3,6-dimethyl-4,5,6,7-tetrahydrobenzofuran	7439/7702/329983	InChI=1S/C10H14O/c1-7(2)9-5-4-8(3)10(11)6-9/h4,9H,1,5-6H2,2-3H3/InChI=1S/C10H14O/c1-3-4-9-5-7-10(11-2)8-6-9/h5-8H,3-4H2,1-2H3/InChI=1S/C10H14O/c1-7-3-4-9-8(2)6-11-10(9)5-7/h6-7H,3-5H2,1-2H3	ULDHMXUKGWMISQ-UHFFFAOYSA-N/KBHWKXNXTURZCD-UHFFFAOYSA-N/YGWKXXYGDYYFJU-UHFFFAOYSA-N	NA	NA	NA	NA
167.1066545	[C10H14O2+H]+	C10H14O2	166.099379685	4-(3-methyl-2-methylene-but-3-enyl)tetrahydrofuran-2-one	557545	InChI=1S/C10H14O2/c1-7(2)8(3)4-9-5-10(11)12-6-9/h9H,1,3-6H2,2H3	IVUUQTFVQVIUGD-UHFFFAOYSA-N	NA	NA	NA	NA
150.1277255	[C10H15N+H]+	C10H15N	149.120449483	2-isobutyl-4-methyl-pyridine	572331	InChI=1S/C10H15N/c1-8(2)6-10-7-9(3)4-5-11-10/h4-5,7-8H,6H2,1-3H3	GZUWMFOJIYTMTM-UHFFFAOYSA-N	NA	NA	NA	NA
