DTXSID	PREFERRED_NAME	CASRN	INCHIKEY	IUPAC_NAME	SMILES	INCHI_STRING	MOLECULAR_FORMULA	AVERAGE_MASS	MONOISOTOPIC_MASS	DATA_SOURCES	NUMBER_OF_PUBMED_ARTICLES	PUBCHEM_DATA_SOURCES	CPDAT_COUNT
DTXSID0020151	Benzyl acetate	140-11-4	QUKGYYKBILRGFE-UHFFFAOYSA-N	Benzyl acetate	CC(=O)OCC1=CC=CC=C1	InChI=1S/C9H10O2/c1-8(10)11-7-9-5-3-2-4-6-9/h2-6H,7H2,1H3	C9H10O2	150.177	150.068079562	105	44.0	101	18256
DTXSID5020152	Benzyl alcohol	100-51-6	WVDDGKGOMKODPV-UHFFFAOYSA-N	Phenylmethanol	OCC1=CC=CC=C1	InChI=1S/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2	C7H8O	108.14	108.057514878	137	777.0	292	522354
DTXSID6020224	4-Butyrolactone	96-48-0	YEJRWHAVMIAJKC-UHFFFAOYSA-N	Oxolan-2-one	O=C1CCCO1	InChI=1S/C4H6O2/c5-4-2-1-3-6-4/h1-3H2	C4H6O2	86.09	86.036779433	101	3550.0	125	191
DTXSID6020430	1,2-Dichlorobenzene	95-50-1	RFFLAFLAYFXFSW-UHFFFAOYSA-N	1,2-Dichlorobenzene	ClC1=C(Cl)C=CC=C1	InChI=1S/C6H4Cl2/c7-5-3-1-2-4-6(5)8/h1-4H	C6H4Cl2	147.0	145.9690055	133	151.0	205	49
DTXSID5020605	2-Ethyl-1-hexanol	104-76-7	YIWUKEYIRIRTPP-UHFFFAOYSA-N	2-Ethylhexan-1-ol	CCCCC(CC)CO	InChI=1/C8H18O/c1-3-5-6-8(4-2)7-9/h8-9H,3-7H2,1-2H3	C8H18O	130.231	130.1357652	117	90.0	103	362
DTXSID4020616	1,8-Cineol	470-82-6	WEEGYLXZBRQIMU-UHFFFAOYSA-N	1,3,3-Trimethyl-2-oxabicyclo[2.2.2]octane	CC12CCC(CC1)C(C)(C)O2	InChI=1S/C10H18O/c1-9(2)8-4-6-10(3,11-9)7-5-8/h8H,4-7H2,1-3H3	C10H18O	154.253	154.1357652	98	534.0	158	2318
DTXSID1020647	Furfural	98-01-1	HYBBIBNJHNGZAN-UHFFFAOYSA-N	Furan-2-carbaldehyde	O=CC1=CC=CO1	InChI=1S/C5H4O2/c6-4-5-2-1-3-7-5/h1-4H	C5H4O2	96.085	96.021129369	116	1432.0	112	49
DTXSID0020654	Geranyl acetate	105-87-3	HIGQPQRQIQDZMP-DHZHZOJOSA-N	(2E)-3,7-Dimethylocta-2,6-dien-1-yl acetate	CC(C)=CCC\C(C)=C\COC(C)=O	InChI=1S/C12H20O2/c1-10(2)6-5-7-11(3)8-9-14-12(4)13/h6,8H,5,7,9H2,1-4H3/b11-8+	C12H20O2	196.29	196.146329884	80	1.0	91	4731
DTXSID1020859	alpha-Methylbenzyl alcohol	98-85-1	WAPNOHKVXSQRPX-UHFFFAOYSA-N	1-Phenylethan-1-ol	CC(O)C1=CC=CC=C1	InChI=1/C8H10O/c1-7(9)8-5-3-2-4-6-8/h2-7,9H,1H3	C8H10O	122.167	122.073164942	69	68.0	126	13
DTXSID0021385	Folpet	133-07-3	HKIOYBQGHSTUDB-UHFFFAOYSA-N	2-[(Trichloromethyl)sulfanyl]-1H-isoindole-1,3(2H)-dione	ClC(Cl)(Cl)SN1C(=O)C2=C(C=CC=C2)C1=O	InChI=1S/C9H4Cl3NO2S/c10-9(11,12)16-13-7(14)5-3-1-2-4-6(5)8(13)15/h1-4H	C9H4Cl3NO2S	296.55	294.9028326	99	66.0	68	150
DTXSID3021483	Phenylacetaldehyde	122-78-1	DTUQWGWMVIHBKE-UHFFFAOYSA-N	Phenylacetaldehyde	O=CCC1=CC=CC=C1	InChI=1S/C8H8O/c9-7-6-8-4-2-1-3-5-8/h1-5,7H,6H2	C8H8O	120.151	120.057514878	84	108.0	120	51
DTXSID7021491	Benzonitrile	100-47-0	JFDZBHWFFUWGJE-UHFFFAOYSA-N	Benzonitrile	N#CC1=CC=CC=C1	InChI=1S/C7H5N/c8-6-7-4-2-1-3-5-7/h1-5H	C7H5N	103.124	103.042199165	93	180.0	148	13
DTXSID8021519	2-(2-Butoxyethoxy)ethanol	112-34-5	OAYXUHPQHDHDDZ-UHFFFAOYSA-N	2-(2-Butoxyethoxy)ethan-1-ol	CCCCOCCOCCO	InChI=1S/C8H18O3/c1-2-3-5-10-7-8-11-6-4-9/h9H,2-8H2,1H3	C8H18O3	162.229	162.12559444	113	19.0	95	875
DTXSID4021553	Decanal	112-31-2	KSMVZQYAVGTKIV-UHFFFAOYSA-N	Decanal	CCCCCCCCCC=O	InChI=1S/C10H20O/c1-2-3-4-5-6-7-8-9-10-11/h10H,2-9H2,1H3	C10H20O	156.269	156.151415264	88	45.0	99	3705
DTXSID9021554	Decanoic acid	334-48-5	GHVNFZFCNZKVNT-UHFFFAOYSA-N	Decanoic acid	CCCCCCCCCC(O)=O	InChI=1S/C10H20O2/c1-2-3-4-5-6-7-8-9-10(11)12/h2-9H2,1H3,(H,11,12)	C10H20O2	172.268	172.146329884	96	312.0	143	150
DTXSID6021589	Dodecanal	112-54-9	HFJRKMMYBMWEAD-UHFFFAOYSA-N	Dodecanal	CCCCCCCCCCCC=O	InChI=1S/C12H24O/c1-2-3-4-5-6-7-8-9-10-11-12-13/h12H,2-11H2,1H3	C12H24O	184.323	184.182715393	61	-	80	121
DTXSID5021590	Dodecanoic acid	143-07-7	POULHZVOKOAJMA-UHFFFAOYSA-N	Dodecanoic acid	CCCCCCCCCCCC(O)=O	InChI=1S/C12H24O2/c1-2-3-4-5-6-7-8-9-10-11-12(13)14/h2-11H2,1H3,(H,13,14)	C12H24O2	200.322	200.177630013	107	712.0	188	5051
DTXSID2021602	Hexadecanoic acid	57-10-3	IPCSVZSSVZVIGE-UHFFFAOYSA-N	Hexadecanoic acid	CCCCCCCCCCCCCCCC(O)=O	InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)	C16H32O2	256.43	256.24023027	106	5306.0	313	12013
DTXSID2021604	Hexanal	66-25-1	JARKCYVAAOWBJS-UHFFFAOYSA-N	Hexanal	CCCCCC=O	InChI=1S/C6H12O/c1-2-3-4-5-6-7/h6H,2-5H2,1H3	C6H12O	100.161	100.088815006	93	264.0	110	43
DTXSID7021607	Hexanoic acid	142-62-1	FUZZWVXGSFPDMH-UHFFFAOYSA-N	Hexanoic acid	CCCCCC(O)=O	InChI=1S/C6H12O2/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H,7,8)	C6H12O2	116.16	116.083729626	104	185.0	162	58
DTXSID5021621	2-Methylbutanoic acid	116-53-0	WLAMNBDJUVNPJU-UHFFFAOYSA-N	2-Methylbutanoic acid	CCC(C)C(O)=O	InChI=1/C5H10O2/c1-3-4(2)5(6)7/h4H,3H2,1-2H3,(H,6,7)	C5H10O2	102.133	102.068079562	82	68.0	130	17
DTXSID5021629	6-Methyl-5-hepten-2-one	110-93-0	UHEPJGULSIKKTP-UHFFFAOYSA-N	6-Methylhept-5-en-2-one	CC(C)=CCCC(C)=O	InChI=1S/C8H14O/c1-7(2)5-4-6-8(3)9/h5H,4,6H2,1-3H3	C8H14O	126.199	126.104465071	80	26.0	98	33
DTXSID9021639	Nonanal	124-19-6	GYHFUZHODSMOHU-UHFFFAOYSA-N	Nonanal	CCCCCCCCC=O	InChI=1S/C9H18O/c1-2-3-4-5-6-7-8-9-10/h9H,2-8H2,1H3	C9H18O	142.242	142.1357652	88	62.0	101	127
DTXSID3021641	Nonanoic acid	112-05-0	FBUKVWPVBMHYJY-UHFFFAOYSA-N	Nonanoic acid	CCCCCCCCC(O)=O	InChI=1S/C9H18O2/c1-2-3-4-5-6-7-8-9(10)11/h2-8H2,1H3,(H,10,11)	C9H18O2	158.241	158.13067982	116	94.0	144	145
DTXSID8021642	Octadecanoic acid	57-11-4	QIQXTHQIDYTFRH-UHFFFAOYSA-N	Octadecanoic acid	CCCCCCCCCCCCCCCCCC(O)=O	InChI=1S/C18H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h2-17H2,1H3,(H,19,20)	C18H36O2	284.484	284.271530399	115	2041.0	224	228662
DTXSID3021643	Octanal	124-13-0	NUJGJRNETVAIRJ-UHFFFAOYSA-N	Octanal	CCCCCCCC=O	InChI=1S/C8H16O/c1-2-3-4-5-6-7-8-9/h8H,2-7H2,1H3	C8H16O	128.215	128.120115135	95	46.0	113	113
DTXSID3021645	Octanoic acid	124-07-2	WWZKQHOCKIZLMA-UHFFFAOYSA-N	Octanoic acid	CCCCCCCC(O)=O	InChI=1S/C8H16O2/c1-2-3-4-5-6-7-8(9)10/h2-7H2,1H3,(H,9,10)	C8H16O2	144.214	144.115029755	113	979.0	159	2086
DTXSID1021665	Tetradecanal	124-25-4	UHUFTBALEZWWIH-UHFFFAOYSA-N	Tetradecanal	CCCCCCCCCCCCCC=O	InChI=1S/C14H28O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15/h14H,2-13H2,1H3	C14H28O	212.377	212.214015522	58	7.0	74	21
DTXSID4021682	Tridecanal	10486-19-8	BGEHHAVMRVXCGR-UHFFFAOYSA-N	Tridecanal	CCCCCCCCCCCCC=O	InChI=1S/C13H26O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14/h13H,2-12H2,1H3	C13H26O	198.35	198.198365457	37	-	56	7
DTXSID4021688	Undecanal	112-44-7	KMPQYAYAQWNLME-UHFFFAOYSA-N	Undecanal	CCCCCCCCCCC=O	InChI=1S/C11H22O/c1-2-3-4-5-6-7-8-9-10-11-12/h11H,2-10H2,1H3	C11H22O	170.296	170.167065328	67	9.0	80	50
DTXSID9021689	Undecane	1120-21-4	RSJKGSCJYJTIGS-UHFFFAOYSA-N	Undecane	CCCCCCCCCCC	InChI=1S/C11H24/c1-3-5-7-9-11-10-8-6-4-2/h3-11H2,1-2H3	C11H24	156.313	156.1878007728	90	70.0	185	65
DTXSID4021769	beta-Ionone	79-77-6	PSQYTAPXSHCGMF-BQYQJAHWSA-N	(3E)-4-(2,6,6-Trimethylcyclohex-1-en-1-yl)but-3-en-2-one	CC(=O)\C=C\C1=C(C)CCCC1(C)C	InChI=1S/C13H20O/c1-10-6-5-9-13(3,4)12(10)8-7-11(2)14/h7-8H,5-6,9H2,1-4H3/b8-7+	C13H20O	192.302	192.151415264	70	174.0	105	43
DTXSID7021780	Diethyl phthalate	84-66-2	FLKPEMZONWLCSK-UHFFFAOYSA-N	Diethyl benzene-1,2-dicarboxylate	CCOC(=O)C1=CC=CC=C1C(=O)OCC	InChI=1S/C12H14O4/c1-3-15-11(13)9-7-5-6-8-10(9)12(14)16-4-2/h5-8H,3-4H2,1-2H3	C12H14O4	222.24	222.089208931	160	219.0	132	266
DTXSID8021808	o-Cresol	95-48-7	QWVGKYWNOKOFNN-UHFFFAOYSA-N	2-Methylphenol	CC1=C(O)C=CC=C1	InChI=1S/C7H8O/c1-6-4-2-3-5-7(6)8/h2-5,8H,1H3	C7H8O	108.14	108.057514878	130	184.0	182	57
DTXSID6021828	Acetophenone	98-86-2	KWOLFJPFCHCOCG-UHFFFAOYSA-N	1-Phenylethan-1-one	CC(=O)C1=CC=CC=C1	InChI=1S/C8H8O/c1-7(9)8-5-3-2-4-6-8/h2-6H,1H3	C8H8O	120.151	120.057514878	128	286.0	149	94
DTXSID0021888	2-Pentanone	107-87-9	XNLICIUVMPYHGG-UHFFFAOYSA-N	Pentan-2-one	CCCC(C)=O	InChI=1S/C5H10O/c1-3-4-5(2)6/h3-4H2,1-2H3	C5H10O	86.134	86.073164942	98	19.0	111	30
