Z	symbol	element	A	mass
1	H	hydrogen	1	  1.007 825 0322(6)
			2	  2.014 101 7781(8)
2	He	helium	3	  3.016 029 322(2)
			4	  4.002 603 2545(4)
3	Li	lithium	6	  6.015 122 89(1)
			7	  7.016 003 44(3)
4	Be	beryllium	9	  9.012 1831(5)
5	B	boron	10	 10.012 9369(1)
			11	 11.009 305 17(8)
6	C	carbon	12	 12(exact)
			13	 13.003 354 835(2)
7	N	nitrogen	14	 14.003 074 004(2)
			15	 15.000 108 899(4)
8	O	oxygen	16	 15.994 914 619(1)
			17	 16.999 131 757(5)
			18	 17.999 159 613(5)
9	F	fluorine	19	 18.998 403 163(6)
10	Ne	neon	20	 19.992 440 18(1)
			21	 20.993 8467(3)
			22	 21.991 3851(1)
11	Na	sodium	23	 22.989 769 28(2)
12	Mg	magnesium	24	 23.985 041 70(9)
			25	 24.985 8370(3)
			26	 25.982 5930(2)
13	Al	aluminium	27	 26.981 5384(3)
14	Si	silicon	28	 27.976 926 535(3)
			29	 28.976 494 665(4)
			30	 29.973 7701(2)
15	P	phosphorous	31	 30.973 761 998(5)
16	S	sulfur	32	 31.972 071 174(9)
			33	 32.971 458 91(1)
			34	 33.967 8670(3)
			36	 35.967 081(2)
17	Cl	chlorine	35	 34.968 8527(3)
			37	 36.965 9026(4)
18	Ar	argon	36	 35.967 5451(2)
			38	 37.962 732(2)
			40	 39.962 383 12(2)
19	K	potassium	39	 38.963 706 49(3)
			40*	 39.963 9982(4)
			41	 40.961 825 26(3)
20	Ca	calcium	40	 39.962 5909(2)
			42	 41.958 618(1)
			43	 42.958 766(2)
			44	 43.955 481(2)
			46	 45.953 69(2)
			48*	 47.952 5229(6)
21	Sc	scandium	45	 44.955 908(5)
22	Ti	titanium	46	 45.952 627(1)
			47	 46.951 7577(8)
			48	 47.947 9409(8)
			49	 48.947 8646(8)
			50	 49.944 7858(8)
23	V	vanadium	50*	 49.947 156(3)
			51	 50.943 957(3)
24	Cr	chromium	50	 49.946 041(3)
			52	 51.940 505(3)
			53	 52.940 647(3)
			54	 53.938 878(3)
25	Mn	manganese	55	 54.938 043(2)
26	Fe	iron	54	 53.939 608(3)
			56	 55.934 936(2)
			57	 56.935 392(2)
			58	 57.933 274(3)
27	Co	cobalt	59	 58.933 194(3)
28	Ni	nickel	58	 57.935 342(3)
			60	 59.930 785(3)
			61	 60.931 055(3)
			62	 61.928 345(3)
			64	 63.927 966(3)
29	Cu	copper	63	 62.929 597(3)
			65	 64.927 790(5)
30	Zn	zinc	64	 63.929 142(5)
			66	 65.926 034(5)
			67	 66.927 127(5)
			68	 67.924 844(5)
			70	 69.925 32(2)
