mz_Hplus	formula_Hplus	cas.number	compound.name	blood	breath	faeces	milk	saliva	skin	urine	reference	chebi.accession	chebi.formula	chebi.monoisotopic.mass	chebi.name	chebi.inchi	kegg.compound.id
45.03349125	[C2H4O+H]+	75-07-0	acetaldehyde	1	1	1	1	1	1	1	deLacyCostello2014	15343	C2H4O	44.02621	"acetaldehyde;Acetaldehyd;acetaldehydes;acetic aldehyde;Azetaldehyd;Ethanal;ethyl aldehyde"	InChI=1S/C2H4O/c1-2-3/h2H,1H3	C00084
60.04439028	[C2H5NO+H]+	60-35-5	acetamide	0	1	1	0	0	0	0	deLacyCostello2014	27856	C2H5NO	59.03711	"acetamide;Acetamid;acetic acid amide;Azetamid;CH3CONH2;Essigsaeureamid;Ethanamid;ethanamide;methanecarboxamide"	InChI=1S/C2H5NO/c1-2(3)4/h1H3,(H2,3,4)	C06244
61.02840587	[C2H4O2+H]+	64-19-7	acetic acid	0	1	1	1	1	1	1	deLacyCostello2014	15366	C2H4O2	60.02113	"acetic acid;acide acetique;AcOH;CH3-COOH;CH3CO2H;E 260;E-260;E260;Essigsaeure;Ethanoic acid;ethoic acid;Ethylic acid;HOAc;INS No. 260;MeCO2H;MeCOOH;Methanecarboxylic acid"	InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)	C00033
151.0753561	[C9H10O2+H]+	140-11-4	acetic acid, benzyl ester / benzyl acetate /acetic acid, phenylmethyl ester	0	0	0	0	1	1	0	deLacyCostello2014	52051	C9H10O2	150.06808	"benzyl acetate;Acetic acid, benzyl ester;Acetic acid, phenylmethyl ester;Benzyl ethanoate;Phenylmethyl ethanoate"	InChI=1S/C9H10O2/c1-8(10)11-7-9-5-3-2-4-6-9/h2-6H,7H2,1H3	C15513
117.0910061	[C6H12O2+H]+	123-86-4	acetic acid, butyl ester	0	1	1	0	0	0	0	deLacyCostello2014	31328	C6H12O2	116.08373	"butyl acetate;1-acetoxybutane;1-butyl acetate;acetate de butyle;acetic acid n-butyl ester;acetic acid, butyl ester;butyl ester of acetic acid;butyl ethanoate;Butylacetat;Butylazetat;CH3COO(CH2)3CH3;Essigsaeure-n-butylester;Essigsaeurebutylester;n-butyl acetate;n-butyl ethanoate"	InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3	C12304
117.0910061	[C6H12O2+H]+	110-19-0	acetic acid, isobutyl ester  / isobutylacetate	0	1	0	0	0	0	0	deLacyCostello2014	50569	C6H12O2	116.08373	"isobutyl acetate;2-methyl-1-propyl acetate;2-methylpropyl ethanoate;acetate d'isobutyle;acetic acid, 2-methylpropyl ester;acetic acid, isobutyl ester;beta-methylpropyl ethanoate;Essigsaeureisobutylester;i-butyl acetate;isobutyl ethanoate;Isobutylacetat;Isobutylazetat"	InChI=1S/C6H12O2/c1-5(2)4-8-6(3)7/h5H,4H2,1-3H3	
		20298-69-5	acetic acid, cis-2-tert-butylcyclohexyl ester/ cis-2-tert-butylcyclohexyl acetate	0	0	0	0	0	1	0	deLacyCostello2014			0			
		32210-23-4	acetic acid, 4-t-butylcyclohexyl ester /vertenex  / 4-t-butylcyclohexyl acetate	0	0	0	0	0	1	0	deLacyCostello2014			0			
		21040-45-9	acetic acid, cinnamyl ester  / E-cinnamylacetate	0	0	0	0	0	1	0	deLacyCostello2014			0			
		53767-93-4	acetic acid, dihydromyrcenyl ester  /dihydromyrcenol acetate	0	0	0	0	0	1	0	deLacyCostello2014			0			
