CAS,ChEBI
"75-07-0","CHEBI:15343
CHEBI:60379"
"60-35-5","CHEBI:27856
CHEBI:49028"
"64-19-7","CHEBI:15366
CHEBI:30089"
"140-11-4","CHEBI:52051
CHEBI:51057"
"123-86-4","CHEBI:31328"
"110-19-0","CHEBI:50569
CHEBI:31328
CHEBI:74904"
"20298-69-5","No result"
"32210-23-4","No result"
"21040-45-9","CHEBI:31402"
"53767-93-4","No result"
"141-12-8","CHEBI:5331"
"105-87-3",""
"150-84-5","CHEBI:70478"
"108-05-4","No result"
"141-78-6","CHEBI:27750"
"103-09-3","No result"
"72237-36-6","No result"
"142-92-7","No result"
"93-29-8","No result"
"89-48-5","CHEBI:104"
"20777-45-1","No result"
"108-65-6","No result"
"41448-83-3","No result"
"79-20-9","CHEBI:77700"
"624-41-9","CHEBI:50585"
"626-38-0","No result"
"5921-82-4",""
"820-71-3","No result"
"628-63-7","No result"
"123-92-2","CHEBI:31725"
"103-45-7","CHEBI:31988"
"109-60-4","CHEBI:40116
CHEBI:31011"
"108-21-4","No result"
"80-26-2","CHEBI:32320"
"90-17-5","No result"
"108-24-7","CHEBI:36610"
"141-97-9","CHEBI:4893"
"67-64-1","CHEBI:15347"
"75-05-8","No result"
"98-86-2","CHEBI:27632"
"112-07-2","No result"
"111-15-9",""
"932-66-1","No result"
"1670-46-8","No result"
"88-29-9","No result"
"1192-62-7","CHEBI:59983"
"21145-77-7","No result"
"70286-20-3","No result"
"3168-90-9","No result"
"1193-79-9","CHEBI:562752"
"520-45-6","No result"
"36357-38-7","No result"
"85213-22-5","CHEBI:67125"
"34277-65-1","No result"
"122-00-9","No result"
"768-95-6","No result"
"ui","No result"
"ui","No result"
"140-67-0","CHEBI:4867"
"15232-95-8","No result"
"870-23-5","No result"
"2179-58-0","CHEBI:6854"
"10152-76-8","No result"
"613-89-8","No result"
"3167-49-5","CHEBI:68583"
"7664-41-7","CHEBI:13759
CHEBI:16134
CHEBI:32863
CHEBI:32876
CHEBI:32877"
"ui","No result"
"04/07/4075",""
"18339-16-7","No result"
"104-46-1",""
