label	mass	lower integration limit	upper integration limit
(H3N)+	17.02599907	17.01590919	17.03609085
(H3N)+	17.02599907	17.01590919	17.03609085
(H2O)+	18.0100193	17.99946022	18.02058029
(H3N)H+	18.0338192	18.02323914	18.04438972
(H2O)H+	19.01783943	19.00680923	19.02886963
H3O 18+	21.02205086	21.01011086	21.03399086
(C2H2)+	26.01510048	26.00103951	26.02915955
(CHN)+	27.01034927	26.99588966	27.02481079
(CO)+	27.99436951	27.9795208	28.00922012
(N2)+	28.00559998	27.99073982	28.02046013
(CHN)H+	28.01818085	28.00332069	28.03303909
(C2H4)+	28.03075027	28.01588058	28.04561996
(CHO)+	29.00218964	28.98694992	29.0174408
(N2)H+	29.0134201	28.99817085	29.02866936
(CH3N)+	29.02599907	29.01074982	29.04125023
(C2H5)+	29.03857994	29.02331924	29.05384064
NO+	29.99744987	29.98181915	30.0130806
(H2N2)+	30.02124977	30.00561905	30.03688049
(CH3N)H+	30.0338192	30.01818085	30.04945946
(C2H5)H+	30.04640007	30.03075981	30.06204033
(NO)H+	31.00526047	30.98925018	31.02127075
(CH2O)H+	31.01783943	31.00182915	31.03384972
(H2N2)H+	31.02907944	31.01305962	31.04508972
(CH5N)+	31.04165077	31.02563095	31.05767059
(C2H6)H+	31.05422974	31.03820992	31.07025909
O2+	31.98925018	31.97287941	32.00561905
(CH5N)H+	32.04948044	32.03308105	32.06587982
(H2P)+	32.98886108	32.97211838	33.00559998
O2 17+	32.98925018	32.97251129	33.00598907
(O2)H+	32.99710846	32.98036957	33.01385117
(CH4O)H+	33.03348923	33.01673889	33.05023956
(H4N2)H+	33.0447197	33.02796173	33.06148148
(H2S)+	33.98717117	33.97006989	34.00426865
(H2P)H+	33.99668884	33.97959137	34.01379013
(H2O2)+	34.00492859	33.98781967	34.02202988
(H2S)H+	34.99499893	34.97753906	35.0124588
(H3P)H+	35.00450897	34.9870491	35.02196884
(HCl)+	35.97613144	35.95832825	35.99393082
(HCl)H+	36.98395157	36.96580124	37.00210953
cluster h2oH+	37.02754974	37.00938034	37.04571915
(C2O)H+	41.00218964	40.98268127	41.02170181
(C2H3N)+	41.02600098	41.00648117	41.04552078
(C3H5)+	41.03858185	41.01905823	41.05810165
(C2H3N)H+	42.03382111	42.01396942	42.05366898
(C2H3O)+	43.01784134	42.99766922	43.03800964
(C3H7)+	43.05422974	43.03404999	43.07440948
(CO2)+	43.9892807	43.96879959	44.00976181
(N2O)+	44.00051117	43.98003006	44.02098846
(C3H8)+	44.06204987	44.04154968	44.08255005
(CO2)H+	44.99710846	44.97631073	45.01791
(C2H5O)+	45.03348923	45.01268005	45.0542984
(NO2)+	45.99235916	45.971241	46.0134697
(C2H3F)+	46.02133179	46.00020981	46.04244995
(CH2O2)H+	47.01276016	46.99132919	47.03419113
(CH5NO)+	47.0365715	47.01512909	47.0580101
(C2H6O)H+	47.04914093	47.02769089	47.07059097
(CH6N2)H+	47.06037903	47.03892899	47.08182907
(O3)+	47.98419952	47.96245956	48.00593948
(CH4S)H+	49.01065063	48.98860168	49.03269958
(CH3Cl)+	49.99177933	49.96942902	50.01412964
(CH3Cl)H+	50.99959946	50.97694016	51.02225876
(CH2F2)+	52.01190948	51.98894882	52.03487015
(C3HN)H+	52.01818085	51.99522018	52.04114914
(C3H3N)+	53.02600098	53.00273132	53.04927063
(Fe)+	53.93907166	53.91553116	53.96260834
(C4H6)+	54.04639816	54.02283096	54.06996918
(Fe)H+	54.94689178	54.92304993	54.97072983
(C3H4O)H+	57.03348923	57.00904083	57.05794144
(C4H8)H+	57.06988144	57.0454216	57.09434891
(C3H6O)H+	59.04914093	59.02410126	59.0741806
(C4H10)H+	59.08552933	59.06047821	59.11058044
(C2H4O2)H+	61.02840042	61.00278854	61.05400848
(C3H8O)H+	61.06478882	61.03916931	61.09040833
(HNO3)+	62.99509811	62.96892166	63.02127075
(C2H6S)H+	63.02629852	63.00011063	63.05249023
(HNO3)H+	64.00292206	63.9764595	64.02938843
(C2H2F2)H+	65.01972961	64.99297333	65.04649353
(C4H5N)H+	68.04947662	68.02187347	68.0770874
(C4H4O)H+	69.03349304	69.00559998	69.06139374
(C5H8)H+	69.06989288	69.04199219	69.09779358
(C4H6O)H+	71.04914093	71.02068329	71.07759857
(C5H10)H+	71.08553314	71.05706787	71.11399841
(C4H8O)H+	73.06479645	73.0357666	73.09381866
(C3H6O2)H+	75.04405975	75.01448059	75.07363892
(C3H9NO)+	75.06786346	75.03827667	75.09745026
(C3H8O2)H+	77.0597229	77.02957916	77.08986664
(C6H6)+	78.04640198	78.01598358	78.07682037
(C6H6)H+	79.05422974	79.02352905	79.08493042
(C5H5N)H+	80.04947662	80.01849365	80.08045959
(C6H8)H+	81.06989288	81.03862762	81.10115814
(C6H10)+	82.07771301	82.0461731	82.10926056
(H3O3P)H+	82.98927307	82.95747375	83.02107239
(C2HF3)H+	83.01030731	82.97850037	83.04210663
(C5H6O)H+	83.04914093	83.01731873	83.08096313
(C6H10)H+	83.08553314	83.05370331	83.11736298
(Kr)+	83.91095734	83.87889862	83.94302368
(C5H9N)H+	84.0807724	84.04866791	84.11287689
(Kr)H+	84.91879272	84.88645172	84.95113373
(C5H8O)H+	85.06479645	85.03240967	85.09718323
(C6H12)H+	85.10118103	85.06878662	85.13358307
(C4H6O2)+	86.03623199	86.00357819	86.06889343
(C4H7NO)H+	86.06004333	86.0273819	86.09269714
(C5H11N)H+	86.09642792	86.06375885	86.12909698
(C4H6O2)H+	87.04405975	87.01112366	87.07700348
(C5H10O)H+	87.08043671	87.04749298	87.11338806
(C5H13N)H+	88.11208344	88.07884979	88.14531708
(C3H4O3)H+	89.02332306	88.98983002	89.05682373
(C4H8S)H+	89.04194641	89.00845337	89.07544708
(C4H8O2)H+	89.0597229	89.02622223	89.09322357
(C5H12O)H+	89.09609222	89.06257629	89.12960815
(C3H7NO2)H+	90.0549469	90.02115631	90.08872986
(C3H6O3)H+	91.03897095	91.00491333	91.07302856
(C2H6N2O2)H+	91.05020142	91.0161438	91.08426666
(C4H10S)H+	91.05760193	91.02353668	91.09166718
(C7H8)+	92.06207275	92.02773285	92.09642029
(C6H5O)+	93.03349304	92.99887085	93.06812286
(C7H8)H+	93.06989288	93.03526306	93.10452271
(C6H6O)+	94.0413208	94.00641632	94.07623291
(C6H6O)H+	95.04914093	95.01394653	95.0843277
(C7H10)H+	95.08553314	95.05033112	95.1207428
(C6H8O)+	96.05697632	96.02149963	96.092453
(C4H4N2O)H+	97.03964233	97.00389099	97.07539368
(C6H8O)H+	97.06479645	97.02903748	97.10056305
(C7H12)H+	97.10118103	97.0654068	97.13694763
(H2O4S)+	97.96682739	97.93080902	98.00285339
(H2O4S)H+	98.97466278	98.93836212	99.01096344
(C6H10O)H+	99.08043671	99.04411316	99.11676788
(C5H10N2)H+	99.09166718	99.05534363	99.12799835
(C6H13N)+	99.10424805	99.06790924	99.14058685
(C7H14)H+	99.11683655	99.08049774	99.15318298
(C5H8O2)H+	101.0596771	101.0227814	101.0965729
(C6H12O)H+	101.096077	101.0591736	101.1329803
(C3H6N2S)+	102.0246201	101.9874496	102.0617905
(C5H10O2)+	102.0675278	102.0303497	102.1047134
(C6H14O)+	102.10392	102.0667267	102.1411133
(C6H15N)H+	102.1277313	102.0905304	102.1649323
Norflurane HFA	103.0167999	103.0087967	103.0968018
(C3H6N2S)H+	103.0324478	102.9949875	103.0699081
(C7H5N)+	103.0416489	103.0041885	103.0791092
(C5H10O2)H+	103.0753632	103.0379028	103.1128311
